year,category,winner,song
2012,Top Radio Song,"Nayer “Give Me Everything” (Pitbull featuring Ne-Yo, Afrojack & Nayer)",Give Me Everything
2012,Top Radio Song,"Ne-Yo “Give Me Everything” (Pitbull featuring Ne-Yo, Afrojack & Nayer)",Give Me Everything
2012,Top Streaming Song (Video),Nicki Minaj “Super Bass”,Super Bass
2012,Top Radio Song,"Pitbull “Give Me Everything” (Pitbull featuring Ne-Yo, Afrojack & Nayer)",Give Me Everything
2012,Top Streaming Artist,Rihanna,
2012,Top Latin Album,Romeo Santos “Formula: Vol. 1”,Formula: Vol. 1
2012,Top Dance Album,Lady Gaga “Born This Way”,Born This Way
2012,Top Christian Song,Laura Story “Blessings”,Blessings
2012,Top Hot 100 Song,Lauren Bennett “Party Rock Anthem” (LMFAO featuring Lauren Bennett & GoonRock),Party Rock Anthem
2012,Top Digital Song,Lauren Bennett “Party Rock Anthem” (LMFAO featuring Lauren Bennett & GoonRock),Party Rock Anthem
2012,Top Pop Song,Lauren Bennett “Party Rock Anthem” (LMFAO featuring Lauren Bennett & GoonRock),Party Rock Anthem
2012,Top Rap Song,Lauren Bennett “Party Rock Anthem” (LMFAO featuring Lauren Bennett & GoonRock),Party Rock Anthem
2012,Top Dance Song,Lauren Bennett “Party Rock Anthem” (LMFAO featuring Lauren Bennett & GoonRock),Party Rock Anthem
2012,Top Rap Song,GoonRock “Party Rock Anthem” (LMFAO featuring Lauren Bennett & GoonRock),Party Rock Anthem
2012,Top Male Artist,Lil Wayne,
2012,Top Dance Song,GoonRock “Party Rock Anthem” (LMFAO featuring Lauren Bennett & GoonRock),Party Rock Anthem
2012,Top Rap Artist,Lil Wayne,
2012,Top Country Album,Jason Aldean “My Kinda Party”,My Kinda Party
2012,Top R&B Song,Lil Wayne “Motivation” (Kelly Rowland featuring Lil Wayne),Motivation
2012,Top Billboard 200 Album,Adele “21”,21
2012,Top Duo/Group,LMFAO,
2012,Billboard Icon Award,Stevie Wonder,
2012,Woman of the Year,Taylor Swift,
2012,Top Rock Song,Foster the People “Pumped Up Kicks”,Pumped Up Kicks
2012,Top Digital Songs Artist,Adele,
2012,Top Latin Song,Don Omar “Taboo” (Don Omar featuring Lucenzo),Taboo
2012,Top Latin Artist,Shakira,
2012,Top Rock Album,Coldplay “Mylo Xyloto”,Mylo Xyloto
2012,Top Alternative Artist,Coldplay,
2012,Top Country Artist,Lady Antebellum,
2012,Top R&B Song,Kelly Rowland “Motivation” (Kelly Rowland featuring Lil Wayne),Motivation
2012,Spotlight Award,Katy Perry for becoming the first woman with five No. 1 Hot 100 singles from one album,
2012,Top Social Artist,Justin Bieber,
2012,Top Pop Album,Adele “21”,21
2012,Top Alternative Album,Coldplay “Mylo Xyloto”,Mylo Xyloto
2012,Top Rock Artist,Coldplay,
2012,Top Hot 100 Hot 100 Artist,Adele,
2012,Top Female Artist,Adele,
2012,Top Billboard 200 Artist,Adele,
2012,Top Latin Song,Lucenzo “Taboo” (Don Omar featuring Lucenzo),Taboo
2012,Top Dance Song,LMFAO “Party Rock Anthem” (LMFAO featuring Lauren Bennett & GoonRock),Party Rock Anthem
2012,Top Rap Song,LMFAO “Party Rock Anthem” (LMFAO featuring Lauren Bennett & GoonRock),Party Rock Anthem
2012,Top Artist,Adele,
2012,Top R&B Album,Beyonce “4”,4
2012,Top R&B Artist,Chris Brown,
2012,Top Christian Artist,Casting Crowns,
2013,Top Rap Artist,Nicki Minaj,
2013,Top Streaming Artist,Nicki Minaj,
2013,Top R&B Song,Rihanna “Diamonds”,Diamonds
2013,Top Hot 100 Artist,Maroon 5,
2013,Top EDM Album,Skrillex “Bangarang”,Bangarang
2013,Top Christian Song,"Matt Redman “10,000 Reasons (Bless the Lord)”","10,000 Reasons (Bless the Lord)"
2013,Top Latin Song,Michel Telo “Ai Se Eu Te Pego”,Ai Se Eu Te Pego
2013,Top Rock Song,Kimbra “Somebody That I Used To Know” (Gotye featuring Kimbra),Somebody That I Used To Know
2013,Top Rap Song,Macklemore & Ryan Lewis “Thrift Shop” (Macklemore & Ryan Lewis featuring Wanz),Thrift Shop
2013,Top Pop Song,Carly Rae Jepsen “Call Me Maybe”,Call Me Maybe
2013,Top EDM Artist,David Guetta,
2013,Top Rock Artist,fun.,
2013,Top Radio Song,Gotye “Somebody That I Used To Know” (Gotye featuring Kimbra),Somebody That I Used To Know
2013,Top Rock Album,Mumford & Sons “Babel”,Babel
2013,Top Dance Song,Baauer “Harlem Shake”,Harlem Shake
2013,Top Dance Album,Madonna “MDNA”,MDNA
2013,Top Rock Song,Gotye “Somebody That I Used To Know” (Gotye featuring Kimbra),Somebody That I Used To Know
2013,Top Hot 100 Song,Gotye “Somebody That I Used To Know” (Gotye featuring Kimbra),Somebody That I Used To Know
2013,Top Streaming Song (Audio),Gotye “Somebody That I Used To Know” (Gotye featuring Kimbra),Somebody That I Used To Know
2013,Top New Artist,One Direction,
2013,Top Duo/Group,One Direction,
2013,Top Pop Artist,One Direction,
2013,Top EDM Song,Baauer “Harlem Shake”,Harlem Shake
2013,Top Streaming Song (Audio),Kimbra “Somebody That I Used To Know” (Gotye featuring Kimbra),Somebody That I Used To Know
2013,Top Digital Song,Carly Rae Jepsen “Call Me Maybe”,Call Me Maybe
2013,Top Artist,Taylor Swift,
2013,Top Latin Artist,Jenni Rivera,
2013,Top Latin Album,Jenni Rivera “La Misma Gran Senora”,La Misma Gran Senora
2013,Milestone Award,Justin Bieber,
2013,Top Male Artist,Justin Bieber,
2013,Top Social Artist,Justin Bieber,
2013,Top Hot 100 Song,Kimbra “Somebody That I Used To Know” (Gotye featuring Kimbra),Somebody That I Used To Know
2013,Top Country Song,Taylor Swift “We Are Never Ever Getting Back Together”,We Are Never Ever Getting Back Together
2013,Top Christian Artist,tobyMac,
2013,Top Rap Album,Nicki Minaj “Pink Friday: Roman Reloaded”,Pink Friday: Roman Reloaded
2013,Top Billboard 200 Artist,Taylor Swift,
2013,Top Digital Songs Artist,Taylor Swift,
2013,Top Country Artist,Taylor Swift,
2013,Top Billboard 200 Album,Taylor Swift “Red”,Red
2013,Top Country Album,Taylor Swift “Red”,Red
2013,Top Female Artist,Taylor Swift,
2013,Top Dance Artist,Madonna,
2013,Top R&B Album,Rihanna “Unapologetic”,Unapologetic
2013,Top Christian Album,tobyMac “Eye On It”,Eye On It
2013,Top R&B Artist,Rihanna,
2013,Top Streaming Song (Video),PSY “Gangnam Style”,Gangnam Style
2013,Top Radio Songs Artist,Rihanna,
2013,Top Touring Artist,Madonna,
2013,Billboard Icon Award,Prince,
2013,Top Pop Album,Adele “21”,21
2013,Top Radio Song,Kimbra “Somebody That I Used To Know” (Gotye featuring Kimbra),Somebody That I Used To Know
2013,Top Rap Song,Wanz “Thrift Shop” (Macklemore & Ryan Lewis featuring Wanz),Thrift Shop
2014,Top Country Artist,Luke Bryan,
2014,Top Country Song,Nelly “Cruise” (Florida Georgia Line featuring Nelly),Cruise
2014,Top Hot 100 Song,Pharrell “Blurred Lines” (Robin Thicke featuring T.I. & Pharrell),Blurred Lines
2014,Top Social Artist,Justin Bieber,
2014,Top Streaming Song (Video),Miley Cyrus “Wrecking Ball”,Wrecking Ball
2014,Top Dance/Electronic Artist,Daft Punk,
2014,Top Christian Artist,Chris Tomlin,
2014,Top Digital Song,Pharrell “Blurred Lines” (Robin Thicke featuring T.I. & Pharrell),Blurred Lines
2014,Top Radio Song,Pharrell “Blurred Lines” (Robin Thicke featuring T.I. & Pharrell),Blurred Lines
2014,Top R&B Song,Pharrell “Blurred Lines” (Robin Thicke featuring T.I. & Pharrell),Blurred Lines
2014,Top Male Artist,Justin Timberlake,
2014,Top Billboard 200 Artist,Justin Timberlake,
2014,Top Touring Artist,Bon Jovi,
2014,Top Dance/Electronic Song,Avicii “Wake Me Up!”,Wake Me Up!
2014,Top Christian Album,Alan Jackson “Precious Memories: Volume II”,Precious Memories: Volume II
2014,Top Rap Album,Eminem “The Marshall Mathers LP 2”,The Marshall Mathers LP 2
2014,Top Rap Artist,Eminem,
2014,Top Dance/Electronic Album,Daft Punk “Random Access Memories”,Random Access Memories
2014,Top Billboard 200 Album,Justin Timberlake “The 20/20 Experience”,The 20/20 Experience
2014,Milestone Award,Carrie Underwood,
2014,Top R&B Song,T.I. “Blurred Lines” (Robin Thicke featuring T.I. & Pharrell),Blurred Lines
2014,Top R&B Album,Justin Timberlake “The 20/20 Experience”,The 20/20 Experience
2014,Top Radio Song,T.I. “Blurred Lines” (Robin Thicke featuring T.I. & Pharrell),Blurred Lines
2014,Top R&B Song,Robin Thicke “Blurred Lines” (Robin Thicke featuring T.I. & Pharrell),Blurred Lines
2014,Top Latin Album,Marc Anthony “3.0”,3.0
2014,Top Digital Song,T.I. “Blurred Lines” (Robin Thicke featuring T.I. & Pharrell),Blurred Lines
2014,Top Hot 100 Song,Robin Thicke “Blurred Lines” (Robin Thicke featuring T.I. & Pharrell),Blurred Lines
2014,Top Digital Song,Robin Thicke “Blurred Lines” (Robin Thicke featuring T.I. & Pharrell),Blurred Lines
2014,Top Artist,Justin Timberlake,
2014,Top Rap Song,Ray Dalton “Can’t Hold Us” (Macklemore & Ryan Lewis featuring Ray Dalton),Can’t Hold Us
2014,Top Radio Song,Robin Thicke “Blurred Lines” (Robin Thicke featuring T.I. & Pharrell),Blurred Lines
2014,Top Christian Song,"Matthew West “Hello, My Name Is”","Hello, My Name Is"
2014,Top Streaming Artist,Miley Cyrus,
2014,Billboard Icon Award,Jennifer Lopez,
2014,Top Streaming Song (Audio),Imagine Dragons “Radioactive”,Radioactive
2014,Top Rock Album,Imagine Dragons “Night Visions”,Night Visions
2014,Top New Artist,Lorde,
2014,Top Duo/Group,Imagine Dragons,
2014,Top Digital Songs Artist,Katy Perry,
2014,Top Country Song,Florida Georgia Line “Cruise” (Florida Georgia Line featuring Nelly),Cruise
2014,Top Female Artist,Katy Perry,
2014,Top Rock Artist,Imagine Dragons,
2014,Top Rock Song,Lorde “Royals”,Royals
2014,Top Hot 100 Artist,Imagine Dragons,
2014,Top Latin Artist,Marc Anthony,
2014,Top Hot 100 Song,T.I. “Blurred Lines” (Robin Thicke featuring T.I. & Pharrell),Blurred Lines
2014,Top Rap Song,Macklemore & Ryan Lewis “Can’t Hold Us” (Macklemore & Ryan Lewis featuring Ray Dalton),Can’t Hold Us
2014,Top Radio Songs Artist,Justin Timberlake,
2014,Top R&B Artist,Justin Timberlake,
2014,Top Country Album,Luke Bryan,
2014,Top Latin Song,Marc Anthony “Vivir Mi Vida”,Vivir Mi Vida
2015,Top Christian Song,Carrie Underwood “Something In the Water”,Something In the Water
2015,Top Rap Album,J. Cole “2014 Forest Hills Drive”,2014 Forest Hills Drive
2015,Top Dance/Electronic Artist,Calvin Harris,
2015,Top Country Album,"Jason Aldean “Old Boots, New Dirt”","Old Boots, New Dirt"
2015,Top New Artist,Sam Smith,
2015,Top Country Song,Jason Aldean “Burnin’ It Down”,Burnin’ It Down
2015,Top Male Artist,Sam Smith,
2015,Top Social Artist,Justin Bieber,
2015,Top Latin Artist,Romeo Santos,
2015,Top Rock Song,Hozier “Take Me To Church”,Take Me To Church
2015,Top Streaming Artist,Iggy Azalea,
2015,Top Radio Song,John Legend “All Of Me”,All Of Me
2015,Top Radio Songs Artist,Sam Smith,
2015,Top Streaming Song (Audio),John Legend “All Of Me”,All Of Me
2015,Top Soundtrack,Soundtrack “Frozen”,Frozen
2015,Top R&B Song,Pharrell Williams “Happy”,Happy
2015,Chart Achievement Award,Taylor Swift,
2015,Top Streaming Song (Video),Taylor Swift “Shake It Off”,Shake It Off
2015,Top Billboard 200 Album,Taylor Swift “1989”,1989
2015,Top Digital Songs Artist,Taylor Swift,
2015,Top Hot 100 Artist,Taylor Swift,
2015,Top Billboard 200 Artist,Taylor Swift,
2015,Top Female Artist,Taylor Swift,
2015,Top Rap Song,Iggy Azalea “Fancy” (Iggy Azalea featuring Charli XCX),Fancy
2015,Top R&B Album,Pharrell Williams “Girl”,Girl
2015,Top R&B Artist,Pharrell Williams,
2015,Top Touring Artist,One Direction,
2015,Top Duo/Group,One Direction,
2015,Top Digital Song,Meghan Trainor “All About That Bass”,All About That Bass
2015,Top Hot 100 Song,Meghan Trainor “All About That Bass”,All About That Bass
2015,Top Dance/Electronic Album,Lindsey Stirling “Shatter Me”,Shatter Me
2015,Top Dance/Electronic Song,Lil Jon “Turn Down For What” (DJ Snake & Lil Jon),Turn Down For What
2015,Top Christian Album,Lecrae “Anamaly”,Anamaly
2015,Top Latin Song,Descemer Bueno “Bailando” (Enrique Iglesias featuring Descemer Bueno & Gente de Zona),Bailando
2015,Top Rap Artist,Iggy Azalea,
2015,Top Rock Artist,Hozier,
2015,Top Christian Artist,Hillsong,
2015,Top Latin Song,Enrique Iglesias “Bailando” (Enrique Iglesias featuring Descemer Bueno & Gente de Zona),Bailando
2015,Top Latin Album,Enrique Iglesias “Sex and Love”,Sex and Love
2015,Top Latin Song,Gente de Zona “Bailando” (Enrique Iglesias featuring Descemer Bueno & Gente de Zona),Bailando
2015,Top Country Artist,Florida Georgia Line,
2015,Top Artist,Taylor Swift,
2015,Top Dance/Electronic Song,DJ Snake “Turn Down For What” (DJ Snake & Lil Jon),Turn Down For What
2015,Top Rock Album,Coldplay “Ghost Stories”,Ghost Stories
2015,Top Rap Song,Charli XCX “Fancy” (Iggy Azalea featuring Charli XCX),Fancy
2016,Top Streaming Song (Video),Silentó “Watch Me”,Watch Me
2016,Top Streaming Songs Artist,The Weeknd,
2016,Top Rock Album,Twenty One Pilots “Blurryface”,Blurryface
2016,Top Rap Song,Wiz Khalifa ft. Charlie Puth “See You Again”,See You Again
2016,Top R&B Song,The Weeknd “The Hills”,The Hills
2016,Top Touring Artist,Taylor Swift,
2016,Top Song Sales Artist,The Weeknd,
2016,Top Soundtrack,Pitch Perfect 2,
2016,Top New Artist,Fetty Wap,
2016,Top Country Song,Thomas Rhett “Die A Happy Man”,Die A Happy Man
2016,Top Dance/Electronic Album,Zedd “True Colors”,True Colors
2016,Top Male Artist,Justin Bieber,
2016,Top Latin Artist,Romeo Santos,
2016,Top Latin Song,Nicky Jam & Enrique Iglesias “El Perdón”,El Perdón
2016,Top Social Media Artist,Justin Bieber,
2016,Top Dance/Electronic Song,Major Lazer & DJ Snake ft. MØ “Lean On”,Lean On
2016,Top Radio Song,WALK THE MOON “Shut Up And Dance”,Shut Up And Dance
2016,Top Radio Songs Artist,The Weeknd,
2016,Top Rap Album,Meek Mill “Dreams Worth More Than Money”,Dreams Worth More Than Money
2016,Top Rap Artist,Drake,
2016,Top Hot 100 Song,Wiz Khalifa ft. Charlie Puth “See You Again”,See You Again
2016,Top Rock Song,WALK THE MOON “Shut Up And Dance”,Shut Up And Dance
2016,Top Latin Album,Juan Gabriel “Los Dúo”,Los Dúo
2016,Top Selling Song,Adele “Hello”,Hello
2016,Top Streaming Song (Audio),The Weeknd “The Hills”,The Hills
2016,Top R&B Album,The Weeknd “Beauty Behind The Madness”,Beauty Behind The Madness
2016,Top R&B Artist,The Weeknd,
2016,Top Dance/Electronic Artist,David Guetta,
2016,Top Gospel Artist,Kirk Franklin,
2016,Billboard Millennium Award,Britney Spears,
2016,Top Gospel Album,Kirk Franklin “Losing My Religion”,Losing My Religion
2016,Billboard Icon Award,Celine Dion,
2016,Top Female Artist,Adele,
2016,Billboard Chart Achievement Award,Rihanna,
2016,Top Duo/Group,One Direction,
2016,Top Artist,Adele,
2016,Top Country Album,Chris Stapleton “Traveller”,Traveller
2016,Top Christian Song,Hillsong United “Oceans (Where Feet May Fail)”,Oceans (Where Feet May Fail)
2016,Top Christian Artist,Hillsong United,
2016,Top Christian Album,Lauren Daigle “How Can It Be”,How Can It Be
2016,Top Billboard 200 Artist,Adele,
2016,Top Billboard 200 Album,Adele “25”,25
2016,Top Gospel Song,Kirk Franklin “Wanna Be Happy?”,Wanna Be Happy?
2016,Top Country Artist,Luke Bryan,
2016,Top Rock Artist,Twenty One Pilots,
2016,Top Hot 100 Artist,The Weeknd,
2017,Top Streaming Song (Audio),Drake Featuring WizKid & Kyla “One Dance”,One Dance
2017,Top Streaming Song (Video),Desiigner “Panda”,Panda
2017,Top Radio Songs Artist,Twenty One Pilots,
2017,Top Soundtrack,“Hamilton: An American Musical”,Hamilton: An American Musical
2017,Top Selling Song,Justin Timberlake “Can’t Stop The Feeling!”,Can’t Stop The Feeling!
2017,Top Social Artist,BTS,
2017,Top Christian Artist,Lauren Daigle,
2017,Top Song Sales Artist,Drake,
2017,Top Dance/Electronic Album,Lindsey Stirling “Brave Enough”,Brave Enough
2017,Top Christian Album,Lauren Daigle “How Can It Be”,How Can It Be
2017,Top Country Tour,Kenny Chesney,
2017,Top Rap Album,Drake “Views”,Views
2017,Top Female Artist,Beyoncé,
2017,Top Country Song,Florida Georgia Line “H.O.L.Y.”,H.O.L.Y.
2017,Top Rap Artist,Drake,
2017,Top Rap Collaboration,Rae Sremmurd Featuring Gucci Mane “Black Beatles”,Black Beatles
2017,Top Rap Song,Desiigner “Panda”,Panda
2017,Top Latin Album,Juan Gabriel “Los Duo 2”,Los Duo 2
2017,Top Country Album,Chris Stapleton “Traveller”,Traveller
2017,Top Country Artist,Blake Shelton,
2017,Top Country Collaboration,Kenny Chesney Featuring P!nk “Setting The World On Fire”,Setting The World On Fire
2017,Top Gospel Song,Travis Greene “Made A Way”,Made A Way
2017,Top Collaboration,The Chainsmokers Featuring Halsey “Closer”,Closer
2017,Top Hot 100 Song,The Chainsmokers Featuring Halsey “Closer”,Closer
2017,Top Hot 100 Artist,Drake,
2017,Top Touring Artist,Beyoncé,
2017,Top Artist,Drake,
2017,Top Billboard 200 Album,Drake “Views”,Views
2017,Billboard Chart Achievement Award,Twenty One Pilots,
2017,Top Billboard 200 Artist,Drake,
2017,Top Gospel Album,Tamela Mann “One Way”,One Way
2017,Top Christian Song,Hillary Scott & The Family “Thy Will”,Thy Will
2017,Top R&B Tour,Beyoncé,
2017,Top Duo/Group,Twenty One Pilots,
2017,Top Gospel Artist,Kirk Franklin,
2017,Top Radio Song,Justin Timberlake “Can’t Stop The Feeling!”,Can’t Stop The Feeling!
2017,Top New Artist,Zayn,
2017,Top R&B Album,Beyoncé “Lemonade”,Lemonade
2017,Top Dance/Electronic Song,The Chainsmokers Featuring Halsey “Closer”,Closer
2017,Top Male Artist,Drake,
2017,Nicky Jam “Hasta El Amanecer”,Nicky Jam “Hasta El Amanecer”,Hasta El Amanecer
2017,Top Latin Artist,Juan Gabriel,
2017,Top R&B Collaboration,Drake Featuring WizKid & Kyla “One Dance”,One Dance
2017,Top Dance/Electronic Artist,The Chainsmokers,
2017,Top R&B Artist,Beyoncé,
2017,Top Rock Tour,Coldplay,
2017,Top Rock Album,Metallica “Hardwired…To Self Destruct”,Hardwired…To Self Destruct
2017,Top Rock Artist,Twenty One Pilots,
2017,Top Rock Song,Twenty One Pilots “Heathens”,Heathens
2017,Top R&B Song,Drake Featuring WizKid & Kyla “One Dance”,One Dance
2017,Top Rap Tour,Drake,
2017,Top Streaming Songs Artist,Drake,
2018,Top Duo/Group,Imagine Dragons,
2018,Top Female Artist,Taylor Swift,
2018,Top Male Artist,Ed Sheeran,
2018,Billboard Chart Achievement Award,Camila Cabello,
2018,Top New Artist,Khalid,
2018,Top Artist,Ed Sheeran,
2018,Top R&B Female Artist,SZA,
2018,Top R&B Male Artist,Bruno Mars,
2018,Top R&B Artist,Bruno Mars,
2018,Top Touring Artist,U2,
2018,Top Social Artist,BTS,
2018,Top Radio Songs Artist,Ed Sheeran,
2018,Top Song Sales Artist,Ed Sheeran,
2018,Top Streaming Songs Artist,Kendrick Lamar,
2018,Top Hot 100 Artist,Ed Sheeran,
2018,Top Billboard 200 Artist,Drake,
2018,Top Gospel Artist,Tasha Cobbs Leonard,
2018,Top Christian Artist,MercyMe,
2018,Top Dance/Electronic Artist,The Chainsmokers,
2018,Top Latin Artist,Ozuna,
2018,Top Rock Tour,U2,
2018,Top Rock Artist,Imagine Dragons,
2018,Top Country Tour,Luke Bryan,
2018,Top Country Duo/Group Artist,Florida Georgia Line,
2018,Top Country Female Artist,Maren Morris,
2018,Top Country Male Artist,Chris Stapleton,
2018,Top Country Artist,Chris Stapleton,
2018,Top Rap Tour,JAY-Z,
2018,Top Rap Female Artist,Cardi B,
2018,Top Rap Male Artist,Kendrick Lamar,
2018,Top Rap Artist,Kendrick Lamar,
2018,Top R&B Tour,Bruno Mars,
2018,Top Radio Song,Ed Sheeran “Shape of You”,Shape of You
2018,Top Selling Song,Luis Fonsi & Daddy Yankee ft. Justin Bieber “Despacito”,Despacito
2018,Top Streaming Song (Video),Luis Fonsi & Daddy Yankee ft. Justin Bieber “Despacito”,Despacito
2018,Top Streaming Song (Audio),Kendrick Lamar “HUMBLE.”,HUMBLE.
2018,Top Hot 100 Song,Luis Fonsi & Daddy Yankee ft. Justin Bieber “Despacito”,Despacito
2018,Top Gospel Album,Tasha Cobbs Leonard “Heart. Passion. Pursuit.”,Heart. Passion. Pursuit.
2018,Top Christian Album,Alan Jackson “Precious Memories Collection”,Precious Memories Collection
2018,Top Dance/Electronic Album,The Chainsmokers “Memories…Do Not Open”,Memories…Do Not Open
2018,Top Latin Album,Ozuna “Odisea”,Odisea
2018,Top Rock Album,Imagine Dragons “Evolve”,Evolve
2018,Top Country Album,Chris Stapleton “From A Room: Volume 1”,From A Room: Volume 1
2018,Top Rap Album,Kendrick Lamar “DAMN.”,DAMN.
2018,Top R&B Album,Bruno Mars “24K Magic”,24K Magic
2018,Top Soundtrack,“Moana”,Moana
2018,Top Selling Album,Taylor Swift “reputation”,reputation
2018,Top Billboard 200 Album,Kendrick Lamar “DAMN.”,DAMN.
2018,ICON Award,Janet Jackson,
2018,Top Gospel Song,J.J. Hairston & Youthful Praise “You Deserve It”,You Deserve It
2018,Top Christian Song,Hillsong Worship “What A Beautiful Name”,What A Beautiful Name
2018,Top Dance/Electronic Song,The Chainsmokers & Coldplay “Something Just Like This”,Something Just Like This
2018,Top Latin Song,Luis Fonsi & Daddy Yankee ft. Justin Bieber “Despacito”,Despacito
2018,Top Rock Song,Imagine Dragons “Believer”,Believer
2018,Top Country Song,Sam Hunt “Body Like A Back Road”,Body Like A Back Road
2018,Top Rap Song,Post Malone ft. 21 Savage “Rockstar”,Rockstar
2018,Top R&B Song,Bruno Mars “That’s What I Like”,That’s What I Like
2018,Top Collaboration,Luis Fonsi & Daddy Yankee ft. Justin Bieber “Despacito”,Despacito
2019,Top Soundtrack,“The Greatest Showman”,The Greatest Showman
2019,Top Artist,Drake,
2019,Top Female Artist,Ariana Grande,
2019,Top Billboard 200 Artist,Drake,
2019,Top Hot 100 Artist,Drake,
2019,Top Dance/Electronic Song,"Zedd, Maren Morris & Grey ÒThe MiddleÓ",
2019,Top Billboard 200 Album,Drake “Scorpion”,Scorpion
2019,Top Dance/Electronic Album,The Chainsmokers ÒSick BoyÓ,
2019,Top Streaming Song (Video),Drake “In My Feelings”,In My Feelings
2019,Top Hot 100 Song,Maroon 5 ft. Cardi B ÒGirls Like YouÓ,
2019,Chart Achievement Award,Ariana Grande,
2019,Top Duo/Group,BTS,
2019,Top Song Sales Artist,Drake,
2019,Top Touring Artist,Ed Sheeran,
2019,Top R&B Artist,Ella Mai,
2019,Top R&B Album,XXXTENTACION Ò17Ó,
2019,Top Country Duo/Group,Dan + Shay,
2019,Top Country Tour,Kenny Chesney,
2019,Top Rock Tour,Elton John,
2019,Top Gospel Artist,Tasha Cobbs Leonard,
2019,Top Gospel Album,Tori Kelly ÒHiding PlaceÓ,
2019,Top Selling Song,Maroon 5 ft. Cardi B ÒGirls Like YouÓ,
2019,Top Collaboration,Maroon 5 ft. Cardi B “Girls Like You”,Girls Like You
2019,Top Gospel Song,Koryn Hawthorne ÒWonÕt He Do ItÓ,
2019,Top R&B Male Artist,The Weeknd,
2019,Top R&B Female Artist,Ella Mai,
2019,Top R&B Tour,Beyoncé & JAY-Z,
2019,Top Rap Male Artist,Drake,
2019,Top Rap Female Artist,Cardi B,
2019,Top Male Artist,Drake,
2019,Top Country Female Artist,Carrie Underwood,
2019,Top Christian Artist,Lauren Daigle,
2019,Top Country Artist,Luke Combs,
2019,Top Latin Artist,Ozuna,
2019,Top Rap Tour,Beyoncé & JAY-Z,
2019,Top Country Male Artist,Luke Combs,
2019,Top Radio Songs Artist,Drake,
2019,ICON Award,Mariah Carey,
2019,Top Rap Album,Drake ÒScorpionÓ,
2019,Top Country Album,Luke Combs ÒThis OneÕs For YouÓ,
2019,Top Rap Artist,Drake,
2019,Top Rap Song,"Cardi B, Bad Bunny & J Balvin ÒI Like ItÓ",
2019,Top R&B Song,Ella Mai ÒBooÕd UpÓ,
2019,Top New Artist,Juice WRLD,
2019,Top Social Artist,BTS,
2019,Top Latin Song,"Casper Magico, Nio Garcia, Darell, Nicky Jam, Bad Bunny & Ozuna ÒTe BoteÓ",
2019,Top Christian Album,Lauren Daigle ÒLook Up ChildÓ,
2019,Top Latin Album,Ozuna ÒAuraÓ,
2019,Top Radio Song,Maroon 5 ft. Cardi B ÒGirls Like YouÓ,
2019,Top Christian Song,Lauren Daigle ÒYou SayÓ,
2019,Top Streaming Song (Audio),Travis Scott ÒSICKO MODEÓ,
2019,Top Rock Album,Panic! At This Disco ÒPray For The WickedÓ,
2019,Top Streaming Songs Artist,Drake,
2019,Top Rock Song,Panic! At The Disco ÒHigh HopesÓ,
2019,Top Country Song,Bebe Rexha & Florida Georgia Line ÒMeant to BeÓ,
2019,Top Dance/Electronic Artist,The Chainsmokers,
2019,Top Rock Artist,Imagine Dragons,
2020,Top Gospel Song,Kanye West “Follow God”,Follow God
2020,Top Streaming Song,Lil Nas X ft. Billy Ray Cyrus “Old Town Road”,Old Town Road
2020,Top Gospel Album,Kanye West “Jesus is King”,Jesus is King
2020,Top Selling Song,Lil Nas X ft. Billy Ray Cyrus “Old Town Road”,Old Town Road
2020,Top Hot 100 Song,Lil Nas X ft. Billy Ray Cyrus “Old Town Road”,Old Town Road
2020,Top Christian Album,Kanye West “Jesus is King”,Jesus is King
2020,ICON Award,Garth Brooks,
2020,Top Social Artist,BTS,
2020,Top Touring Artist,P!nk,
2020,Top R&B Artist,Khalid,
2020,Top Radio Songs Artist,Jonas Brothers,
2020,Top R&B Male Artist,Khalid,
2020,Top Country Female Artist,Maren Morris,
2020,Top Latin Album,J Balvin & Bad Bunny “Oasis”,Oasis
2020,Top Country Male Artist,Luke Combs,
2020,Top Dance/Electronic Album,Marshmello “Marshmello: Fortnite Extended Set”,Marshmello: Fortnite Extended Set
2020,Top Rock Tour,Elton John,
2020,Top Country Tour,George Strait,
2020,Top Country Duo/Group,Dan + Shay,
2020,Top Billboard 200 Album,"Billie Eilish “When We All Fall Asleep, Where Do We Go?”","When We All Fall Asleep, Where Do We Go?"
2020,Top Rap Album,Post Malone “Hollywood’s Bleeding”,Hollywood’s Bleeding
2020,Top R&B Album,Khalid “Free Spirit”,Free Spirit
2020,Top Soundtrack,“Frozen II”,Frozen II
2020,Top Hot 100 Artist,Post Malone,
2020,Top Streaming Songs Artist,Post Malone,
2020,Top Song Sales Artist,Lizzo,
2020,Top Rap Tour,Post Malone,
2020,Top Country Album,Luke Combs “What You See Is What You Get”,What You See Is What You Get
2020,Top Country Artist,Luke Combs,
2020,Top Rock Album,Tool “Fear Inoculum”,Fear Inoculum
2020,Top Billboard 200 Artist,Post Malone,
2020,Top Christian Song,for KING & COUNTRY “God Only Knows”,God Only Knows
2020,Top Dance/Electronic Song,Ellie Goulding x Diplo ft. Swae Lee “Close To Me”,Close To Me
2020,Top Latin Song,Daddy Yankee ft. Snow “Con Calma”,Con Calma
2020,Top Rap Male Artist,Post Malone,
2020,Top Male Artist,Post Malone,
